Genero,Edad,RangoEdad,EstadoCivil,Tienda,Categoria,Precio
Hombre,52,Adulto,Soltero,Jesus Maria,Humanidad,24
Hombre,34,Adulto,Casado,Jesus Maria,Novelas,19.2
Mujer,42,Adulto,Casado,Miraflores,Comics,166
Hombre,26,Joven,Casado,Jesus Maria,Novelas,20
Mujer,59,Adulto,Soltero,Surquillo,Historia,64
Mujer,60,Adulto,Soltero,Chorrillos,Historia,138
Mujer,58,Adulto,Casado,Chorrillos,Comics,41.33
Hombre,32,Adulto,Casado,La Molina,Tecnologia,18.4
Mujer,18,Joven,Soltero,Miraflores,Literatura Universal,151
Mujer,58,Adulto,Casado,La Molina,Academico,96
Mujer,38,Adulto,Soltero,San Isidro,Comics,95
Mujer,26,Joven,Casado,Jesus Maria,Nutricion,96
Hombre,42,Adulto,Soltero,Jesus Maria,Literatura Universal,56
Mujer,31,Adulto,Soltero,San Isidro,Programación,24
Mujer,36,Adulto,Soltero,San Borja,Academico,240
Hombre,58,Adulto,Soltero,Magdalena,Novelas,448
Mujer,36,Adulto,Casado,Santiago de Surco,Empresas,162.67
Mujer,24,Joven,Soltero,La Molina,Programación,25.33
Mujer,23,Joven,Casado,San Borja,Historia,106
Hombre,58,Adulto,Casado,La Molina,Literatura  Peruana,148
Mujer,53,Adulto,Casado,San Juan de Miraflores,Comics,24
Hombre,27,Joven,Casado,Surquillo,Empresas,216
Hombre,58,Adulto,Soltero,Surquillo,Literatura  Peruana,14.67
Hombre,27,Joven,Soltero,San Borja,Literatura Universal,68
Hombre,36,Adulto,Soltero,Jesus Maria,Novelas,200
Mujer,58,Adulto,Soltero,San Juan de Miraflores,Novelas,98
Mujer,33,Adulto,Casado,La Molina,Literatura Universal,272
Mujer,33,Adulto,Casado,San Borja,Academico,125.6
Mujer,30,Joven,Casado,San Borja,Literatura Universal,13.6
Hombre,32,Adulto,Casado,Surquillo,Literatura Universal,104.8
Hombre,35,Adulto,Casado,San Isidro,Humanidad,47.2
Mujer,21,Joven,Casado,Santiago de Surco,Novelas,40
Hombre,31,Adulto,Soltero,Los Olivos,Autoayuda,131
Hombre,57,Adulto,Casado,Centro de Lima,Nutricion,40
Mujer,22,Joven,Soltero,Magdalena,Novelas,85
Hombre,57,Adulto,Soltero,San Isidro,Infantil,103.2
Hombre,53,Adulto,Casado,La Molina,Historia,158
Mujer,18,Joven,Casado,San Borja,Nutricion,136
Mujer,35,Adulto,Casado,San Isidro,Autoayuda,94
Mujer,53,Adulto,Soltero,Chorrillos,Academico,173.33
Hombre,30,Joven,Soltero,San Borja,Infantil,173.33
Mujer,30,Joven,Casado,Jesus Maria,Novelas,114
Mujer,54,Adulto,Casado,Los Olivos,Autoayuda,91.2
Mujer,19,Joven,Casado,Santiago de Surco,Humanidad,181.33
Hombre,51,Adulto,Casado,Miraflores,Nutricion,157.33
Mujer,29,Joven,Casado,Magdalena,Nutricion,96
Mujer,50,Adulto,Casado,San Isidro,Humanidad,116
Mujer,49,Adulto,Soltero,Miraflores,Autoayuda,126
Mujer,59,Adulto,Casado,La Molina,Nutricion,58
Mujer,36,Adulto,Soltero,Centro de Lima,Empresas,78
Hombre,25,Joven,Soltero,San Isidro,Novelas,236
Hombre,32,Adulto,Soltero,Surquillo,Infantil,48
Mujer,49,Adulto,Soltero,Centro de Lima,Literatura  Peruana,205.33
Mujer,56,Adulto,Soltero,Miraflores,Academico,20
Mujer,28,Joven,Soltero,San Juan de Miraflores,Literatura  Peruana,138
Mujer,43,Adulto,Casado,La Molina,Tecnologia,28
Mujer,52,Adulto,Casado,Jesus Maria,Novelas,222
Mujer,40,Adulto,Casado,Centro de Lima,Infantil,71.2
Mujer,57,Adulto,Casado,Surquillo,Literatura  Peruana,68
Mujer,43,Adulto,Soltero,San Juan de Miraflores,Humanidad,56
Mujer,38,Adulto,Casado,Santiago de Surco,Autoayuda,244
Hombre,28,Joven,Soltero,Surquillo,Infantil,34.67
Mujer,51,Adulto,Soltero,Surquillo,Novelas,61.33
Hombre,21,Joven,Soltero,Miraflores,Academico,136
Mujer,43,Adulto,Casado,San Isidro,Programación,104
Mujer,44,Adulto,Casado,San Juan de Miraflores,Literatura  Peruana,78.4
Hombre,40,Adulto,Casado,Centro de Lima,Literatura Universal,48.8
Mujer,51,Adulto,Casado,San Isidro,Historia,400
Mujer,44,Adulto,Soltero,San Borja,Novelas,138
Mujer,25,Joven,Soltero,Centro de Lima,Literatura Universal,476
Mujer,45,Adulto,Soltero,Santiago de Surco,Programación,44
Mujer,45,Adulto,Casado,Centro de Lima,Programación,39.2
Mujer,24,Joven,Soltero,San Isidro,Nutricion,129
Mujer,44,Adulto,Casado,Surquillo,Humanidad,272
Mujer,31,Adulto,Casado,Los Olivos,Literatura Universal,148
Mujer,51,Adulto,Soltero,Santiago de Surco,Humanidad,76
Hombre,37,Adulto,Soltero,San Isidro,Infantil,608
Mujer,31,Adulto,Casado,Los Olivos,Historia,99
Mujer,21,Joven,Soltero,San Isidro,Academico,133.33
Hombre,31,Adulto,Soltero,Santiago de Surco,Autoayuda,15.2
Hombre,60,Adulto,Soltero,Surquillo,Tecnologia,79
Mujer,54,Adulto,Casado,San Juan de Miraflores,Nutricion,28
Hombre,49,Adulto,Casado,Los Olivos,Novelas,169.33
Hombre,39,Adulto,Soltero,San Juan de Miraflores,Literatura Universal,222
Mujer,43,Adulto,Casado,La Molina,Programación,84
Hombre,60,Adulto,Soltero,San Borja,Programación,52
Mujer,26,Joven,Soltero,Jesus Maria,Literatura Universal,120
Hombre,33,Adulto,Soltero,Surquillo,Comics,68
Mujer,53,Adulto,Casado,Centro de Lima,Novelas,79
Mujer,57,Adulto,Casado,La Molina,Empresas,55
Hombre,52,Adulto,Casado,Magdalena,Academico,484
Hombre,19,Joven,Soltero,Surquillo,Academico,596
Hombre,42,Adulto,Soltero,La Molina,Academico,72.8
Hombre,49,Adulto,Casado,Miraflores,Nutricion,137
Mujer,49,Adulto,Soltero,San Juan de Miraflores,Empresas,157
Mujer,40,Adulto,Soltero,La Molina,Programación,52
Mujer,30,Joven,Casado,San Isidro,Empresas,56
Mujer,36,Adulto,Soltero,San Borja,Literatura  Peruana,93
Mujer,31,Adulto,Casado,Chorrillos,Academico,15
Hombre,24,Joven,Soltero,Centro de Lima,Academico,238
Mujer,38,Adulto,Casado,Jesus Maria,Programación,84
Hombre,26,Joven,Soltero,Chorrillos,Tecnologia,164
Mujer,45,Adulto,Soltero,Magdalena,Autoayuda,90.4
Hombre,37,Adulto,Casado,La Molina,Literatura Universal,94.67
Hombre,28,Joven,Soltero,Los Olivos,Nutricion,384
Mujer,51,Adulto,Casado,Magdalena,Humanidad,77
Mujer,46,Adulto,Soltero,Santiago de Surco,Comics,108.8
Mujer,19,Joven,Casado,Surquillo,Literatura  Peruana,318
Hombre,28,Joven,Soltero,Miraflores,Literatura  Peruana,116.8
Hombre,39,Adulto,Casado,Surquillo,Historia,29
Hombre,22,Joven,Casado,Jesus Maria,Literatura Universal,170
Mujer,59,Adulto,Soltero,Magdalena,Comics,278
Mujer,31,Adulto,Soltero,San Juan de Miraflores,Nutricion,176
Hombre,24,Joven,Soltero,Miraflores,Autoayuda,36
Mujer,36,Adulto,Soltero,Chorrillos,Literatura  Peruana,111.2
Hombre,32,Adulto,Soltero,La Molina,Novelas,49
Mujer,54,Adulto,Soltero,Centro de Lima,Autoayuda,396
Mujer,36,Adulto,Casado,San Juan de Miraflores,Academico,81.33
Hombre,19,Joven,Casado,Santiago de Surco,Empresas,252
Hombre,53,Adulto,Casado,San Isidro,Tecnologia,148
Mujer,43,Adulto,Casado,Jesus Maria,Literatura  Peruana,238
Mujer,42,Adulto,Soltero,San Isidro,Humanidad,204
Mujer,54,Adulto,Soltero,Jesus Maria,Academico,188
Mujer,34,Adulto,Casado,Chorrillos,Empresas,45.6
Mujer,33,Adulto,Soltero,San Isidro,Academico,280
Mujer,60,Adulto,Casado,Jesus Maria,Autoayuda,120
Mujer,46,Adulto,Soltero,Chorrillos,Empresas,37
Mujer,22,Joven,Soltero,Magdalena,Academico,36
Hombre,47,Adulto,Casado,San Borja,Literatura  Peruana,119.2
Hombre,31,Adulto,Soltero,Jesus Maria,Autoayuda,82
Hombre,19,Joven,Soltero,San Isidro,Comics,144
Mujer,24,Joven,Soltero,Surquillo,Autoayuda,35
Mujer,47,Adulto,Casado,San Isidro,Humanidad,81.6
Mujer,46,Adulto,Casado,Santiago de Surco,Autoayuda,400
Hombre,21,Joven,Casado,Surquillo,Nutricion,81.33
Hombre,31,Adulto,Soltero,Miraflores,Academico,184
Mujer,31,Adulto,Soltero,San Isidro,Novelas,74
Hombre,42,Adulto,Soltero,Miraflores,Tecnologia,161.33
Mujer,32,Adulto,Soltero,Magdalena,Humanidad,290
Hombre,40,Adulto,Soltero,Centro de Lima,Autoayuda,232
Hombre,26,Joven,Casado,San Isidro,Humanidad,552
Mujer,46,Adulto,Soltero,Surquillo,Nutricion,109
Hombre,56,Adulto,Casado,Chorrillos,Literatura Universal,228
Mujer,57,Adulto,Soltero,Los Olivos,Humanidad,17
Hombre,30,Joven,Casado,Miraflores,Infantil,48
Hombre,42,Adulto,Casado,Centro de Lima,Literatura Universal,68
Hombre,22,Joven,Casado,San Isidro,Novelas,109.33
Mujer,34,Adulto,Soltero,Magdalena,Infantil,40
Hombre,36,Adulto,Soltero,Los Olivos,Novelas,197.33
Hombre,24,Joven,Soltero,La Molina,Nutricion,117
Mujer,58,Adulto,Soltero,Chorrillos,Academico,236
Mujer,32,Adulto,Soltero,La Molina,Novelas,59.2
Hombre,31,Adulto,Casado,San Borja,Programación,103.2
Mujer,32,Adulto,Soltero,Chorrillos,Tecnologia,380
Hombre,25,Joven,Soltero,San Juan de Miraflores,Autoayuda,158.67
Hombre,44,Adulto,Casado,Miraflores,Nutricion,74.4
Hombre,22,Joven,Casado,San Isidro,Comics,8
Mujer,28,Joven,Soltero,San Borja,Infantil,19.2
Hombre,51,Adulto,Casado,San Borja,Academico,54.67
Mujer,23,Joven,Soltero,San Juan de Miraflores,Literatura  Peruana,488
Hombre,48,Adulto,Soltero,Santiago de Surco,Novelas,106.4
Mujer,38,Adulto,Soltero,Santiago de Surco,Novelas,60
Mujer,28,Joven,Soltero,La Molina,Nutricion,36.8
Hombre,27,Joven,Soltero,San Juan de Miraflores,Academico,47
Mujer,48,Adulto,Casado,Santiago de Surco,Infantil,139
Hombre,46,Adulto,Casado,Miraflores,Infantil,56
Mujer,48,Adulto,Soltero,San Borja,Nutricion,110.67
Mujer,36,Adulto,Soltero,San Juan de Miraflores,Empresas,98.4
Mujer,33,Adulto,Casado,Miraflores,Literatura  Peruana,112
Hombre,24,Joven,Soltero,Jesus Maria,Tecnologia,84
Hombre,23,Joven,Casado,Los Olivos,Humanidad,72.8
Mujer,58,Adulto,Soltero,Los Olivos,Infantil,21.33
Hombre,34,Adulto,Soltero,San Isidro,Tecnologia,31.2
Hombre,19,Joven,Casado,Centro de Lima,Autoayuda,37
Mujer,31,Adulto,Soltero,Miraflores,Nutricion,212
Mujer,42,Adulto,Casado,Miraflores,Humanidad,196
Hombre,48,Adulto,Casado,La Molina,Literatura Universal,181.33
Mujer,28,Joven,Soltero,Magdalena,Programación,284
Mujer,27,Joven,Soltero,La Molina,Humanidad,264
